,Vehicle_Class,Vehicle_Category,Month,month_sin,month_cos,State_EV_Group,Days_Since_Start,Log_EV_Sales_Quantity
71,59,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
72,1,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
73,9,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
74,13,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
75,26,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
76,27,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
77,33,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
78,31,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
79,32,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
80,38,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
81,39,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
82,40,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
83,43,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
84,58,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
85,59,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
86,63,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
87,66,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
88,0,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
89,1,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
90,2,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
91,5,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
92,9,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
93,13,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
94,15,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
95,16,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
96,19,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
97,20,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
98,22,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
99,26,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
100,27,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
101,33,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
102,31,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,2.397895273
103,36,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
104,38,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
105,39,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
106,40,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
107,46,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
108,47,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
109,50,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
110,58,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
111,59,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
112,63,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
113,65,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
114,66,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
115,69,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
116,71,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
117,0,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
118,2,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
119,9,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
120,13,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
121,20,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
122,26,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
123,31,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
124,38,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
125,39,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
126,40,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
127,58,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
128,59,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
129,63,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
130,1,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
131,2,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
132,11,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
133,15,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
134,21,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
135,22,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
136,25,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
137,26,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
138,33,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
139,31,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
140,38,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
141,40,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
142,46,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
143,59,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
144,65,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
145,0,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
146,1,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
147,2,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
148,9,3,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
149,15,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
150,26,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
151,30,2,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
152,33,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
153,31,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,1.098612289
154,32,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
155,38,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
156,39,2,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
157,40,2,-1.561734799,0.696604762,1.20443877,0,-1.748040658,1.791759469
158,54,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
159,58,1,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
160,59,1,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
161,60,1,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
162,0,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
163,1,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
164,9,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
165,13,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
166,15,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
167,19,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
168,26,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
169,33,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
170,31,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
171,38,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
