STATE,ANDAMAN & NICOBAR ISLAND,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,TAMIL NADU,TRIPURA,UT OF DNH AND DD,UTTARAKHAND,UTTAR PRADESH,WEST BENGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCT,0,117,0,1197,1342,32,210,2471,2,72,383,0,0,168,437,24,406,508,30,1,96,7,123,589,360,210,6,452,5279,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOV,0,124,0,1391,1585,30,241,2763,10,72,485,22,0,219,725,64,381,881,19,1,138,11,147,744,553,281,1,539,5689,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,0,247,1,943,1587,45,215,2277,6,85,412,0,0,227,704,93,344,473,29,0,75,5,102,674,321,493,3,538,5733,1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN,0,110,0,733,1297,33,216,2514,2,93,370,0,1,177,1204,100,307,738,25,1,81,9,150,593,444,792,5,443,5483,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEB,3,114,0,1263,1523,23,176,2014,3,53,433,65,0,201,739,105,308,794,55,1,72,3,109,558,532,522,0,466,4866,1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,0,109,2,837,1680,7,164,1286,2,116,303,43,9,236,891,104,331,840,20,0,86,6,95,406,686,433,4,183,3424,1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APR,0,20,1,2,22,23,4,7,0,6,48,0,5,24,5,0,58,9,1,0,1,0,7,23,0,1,0,11,328,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY,0,1,0,74,48,0,20,120,2,0,20,0,0,2,331,21,32,133,0,0,20,2,1,31,98,108,2,5,165,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,10,79,0,547,846,15,137,525,3,103,135,8,1,59,494,41,199,312,0,0,61,4,40,243,286,200,2,128,1678,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUL,15,98,0,602,680,17,98,638,1,76,199,6,5,207,439,49,188,403,0,0,54,5,60,457,343,230,1,154,2142,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUG,0,196,0,629,938,58,68,739,4,192,285,6,9,80,648,107,242,491,0,0,61,4,44,347,534,205,0,155,2024,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEP,1,256,0,583,1562,83,111,630,7,80,293,21,6,128,777,190,418,610,1,0,134,12,99,704,673,191,1,200,2679,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCT,3,191,0,1007,1267,40,122,1005,19,112,229,6,7,98,1251,215,365,713,0,0,86,12,61,477,485,258,0,188,2061,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOV,2,177,1,1006,1019,38,232,1556,24,151,228,22,18,157,1336,224,345,987,0,1,128,20,82,748,711,227,2,214,2724,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,2,299,0,1074,1565,32,141,1341,15,142,438,4,13,147,1572,219,569,1099,2,0,119,13,84,1020,906,254,7,247,3693,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN,15,312,0,887,1705,26,166,1445,31,178,254,7,12,166,1783,267,503,1122,2,0,150,13,89,845,1083,274,1,338,4430,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEB,26,446,0,1076,1592,20,237,1599,46,286,375,4,0,158,1698,366,499,1426,1,0,217,15,96,1116,2916,224,3,346,4438,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,31,1059,2,1472,2045,55,349,2202,80,360,525,16,104,311,2657,498,968,2095,9,0,328,34,291,2188,4035,239,2,437,5231,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APR,9,621,0,1102,997,42,71,1120,55,201,490,10,22,166,1776,634,221,683,20,1,239,19,75,578,2009,247,1,229,3098,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY,0,292,0,406,229,7,18,3,31,212,57,5,50,73,143,175,1,352,0,1,35,5,77,67,315,162,0,40,641,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,0,577,0,373,749,33,228,942,37,316,353,26,88,150,696,359,557,1167,0,0,215,31,139,912,996,89,3,237,2852,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUL,8,1088,0,944,1825,57,388,2406,75,473,423,22,204,251,3857,691,886,2542,15,2,363,38,508,2209,3079,99,8,347,4784,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUG,1,882,0,1031,1897,58,385,2605,41,760,863,33,122,290,3658,876,974,2837,38,0,514,36,464,2052,3161,184,2,527,5684,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEP,0,911,0,1511,2344,72,431,2879,121,1168,1264,35,158,407,4097,1054,1297,2559,6,0,539,52,724,2951,3217,177,1,645,7315,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCT,1,1139,0,1961,3173,108,485,3284,203,1671,1176,31,201,485,4156,1133,1090,4116,12,0,1024,32,551,2909,2749,202,2,641,8101,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOV,0,1286,0,2057,3075,143,705,3528,199,1753,1482,61,64,631,3887,1296,1686,4496,4,1,954,48,938,3772,3024,270,1,674,8601,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,1,1068,0,2812,3454,109,753,3789,177,2384,1402,76,121,652,4883,1391,1760,6514,7,0,1048,83,698,3870,3585,267,4,862,11535,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN,0,1775,0,2200,3029,71,885,3408,220,2383,1293,26,88,592,4947,1726,1539,5759,9,1,1470,96,763,3473,4470,251,6,661,9831,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEB,0,2429,0,2576,2768,101,876,4548,327,2836,1260,63,165,626,6164,2181,1605,8197,12,2,1382,121,661,3995,4878,254,6,729,8595,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,2,3343,0,3458,4735,175,1304,5993,329,4876,1785,65,272,954,7866,3365,2499,12214,6,3,2606,186,1080,4612,8180,367,7,1037,10998,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
