STATE,ANDAMAN & NICOBAR ISLAND,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,TAMIL NADU,TRIPURA,UT OF DNH AND DD,UTTARAKHAND,UTTAR PRADESH,WEST BENGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN,6,2994,17,5156,9265,603,4201,9340,981,5780,4385,253,910,2139,17802,8762,10029,23797,55,59,5014,424,3891,8903,14284,822,80,1551,33546,5743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEB,5,4568,17,4679,7916,430,3144,8878,634,4640,3123,237,794,2041,13237,7099,8382,16575,60,41,4510,396,3289,6860,12204,823,36,1109,27480,4471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,19,5024,18,6049,9416,612,4414,11150,1087,6900,3300,220,957,2626,21356,10610,12942,35071,38,43,7540,447,5159,10505,14862,921,38,1399,35471,6245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APR,6,5058,21,5844,7872,467,3539,9401,663,6010,4437,169,907,2047,15249,8421,9034,20958,83,49,5952,408,3846,8051,13030,821,56,1494,39748,5087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY,11,4684,27,7586,9270,467,3749,10832,650,6683,4167,202,976,2732,16586,9708,10214,20757,34,72,6540,392,4195,9108,12385,761,44,1766,40015,5466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,10,4717,21,7534,10194,572,4106,9019,959,7623,4267,243,980,2778,17109,9451,11300,21438,129,100,6689,431,4376,9364,14267,849,37,1714,34550,5448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUL,25,4865,25,8596,11532,615,4078,10541,667,6934,4275,189,1306,3163,16699,9653,12453,21868,73,124,6427,539,4920,9859,14706,862,50,2009,36336,6343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUG,19,4849,21,8554,10941,564,3597,11477,886,6959,3793,206,998,3180,20088,11692,10887,23861,149,96,5881,348,4053,9536,14315,774,39,1913,32499,5586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEP,22,4368,7,8280,6999,632,3991,11312,890,8319,3529,158,895,3141,18624,10595,12707,20886,149,92,7016,388,3572,9421,15043,810,47,1730,31336,6391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCT,26,7444,20,8174,15900,592,6138,12031,1026,9231,4240,228,1397,3819,22827,9365,18540,32294,173,116,9287,433,4755,16098,15610,1016,58,2292,36900,5763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
