Month,State_EV_Group,Vehicle_Category,Vehicle_Class,Log_EV_Sales_Quantity1,Type,Log_EV_Sales_Quantity,State_EV_Category_1,Vehicle_Category_1
9,1,0,20,0.49736434,Forecast,0.99472868,Low-EV-Adoption-States,2-Wheelers
9,0,0,21,3.1696215,Forecast,6.339243,High-EV-Adoption-States,2-Wheelers
9,2,0,21,2.4797616,Forecast,4.9595232,Moderate-EV-Adoption-States,2-Wheelers
9,1,0,21,1.7908953,Forecast,3.5817906,Low-EV-Adoption-States,2-Wheelers
9,0,0,22,0.48030007,Forecast,0.96060014,High-EV-Adoption-States,2-Wheelers
9,2,0,22,1.0578674,Forecast,2.1157348,Moderate-EV-Adoption-States,2-Wheelers
9,1,0,22,1.0587369,Forecast,2.1174738,Low-EV-Adoption-States,2-Wheelers
9,0,3,23,-0.52495205,Forecast,-1.0499041,High-EV-Adoption-States,Bus
9,2,3,23,-0.25648767,Forecast,-0.51297534,Moderate-EV-Adoption-States,Bus
9,1,3,23,-0.43947664,Forecast,-0.87895328,Low-EV-Adoption-States,Bus
9,0,2,24,0.49989218,Forecast,0.99978436,High-EV-Adoption-States,4-Wheelers
9,2,2,24,-0.05099301,Forecast,-0.10198602,Moderate-EV-Adoption-States,4-Wheelers
9,1,2,24,-0.29329664,Forecast,-0.58659328,Low-EV-Adoption-States,4-Wheelers
9,0,2,25,1.0998356,Forecast,2.1996712,High-EV-Adoption-States,4-Wheelers
9,2,2,25,-0.14438428,Forecast,-0.28876856,Moderate-EV-Adoption-States,4-Wheelers
9,1,2,25,-0.28575248,Forecast,-0.57150496,Low-EV-Adoption-States,4-Wheelers
9,0,2,26,0.8407178,Forecast,1.6814356,High-EV-Adoption-States,4-Wheelers
9,2,2,26,1.322033,Forecast,2.644066,Moderate-EV-Adoption-States,4-Wheelers
9,1,2,26,0.25164235,Forecast,0.5032847,Low-EV-Adoption-States,4-Wheelers
9,0,4,27,0.10534857,Forecast,0.21069714,High-EV-Adoption-States,Others
9,2,4,27,0.075816624,Forecast,0.151633248,Moderate-EV-Adoption-States,Others
9,1,4,27,0.10434559,Forecast,0.20869118,Low-EV-Adoption-States,Others
9,0,1,28,1.8214989,Forecast,3.6429978,High-EV-Adoption-States,3-Wheelers
9,2,1,28,1.6912131,Forecast,3.3824262,Moderate-EV-Adoption-States,3-Wheelers
9,1,1,28,1.7666782,Forecast,3.5333564,Low-EV-Adoption-States,3-Wheelers
9,0,1,29,2.7594926,Forecast,5.5189852,High-EV-Adoption-States,3-Wheelers
9,2,1,29,2.6500008,Forecast,5.3000016,Moderate-EV-Adoption-States,3-Wheelers
9,1,1,29,2.7810335,Forecast,5.562067,Low-EV-Adoption-States,3-Wheelers
9,0,1,30,2.429849,Forecast,4.859698,High-EV-Adoption-States,3-Wheelers
9,2,1,30,0.78544307,Forecast,1.57088614,Moderate-EV-Adoption-States,3-Wheelers
9,1,1,30,0.19412418,Forecast,0.38824836,Low-EV-Adoption-States,3-Wheelers
9,0,4,31,0.27640656,Forecast,0.55281312,High-EV-Adoption-States,Others
9,2,4,31,0.14408745,Forecast,0.2881749,Moderate-EV-Adoption-States,Others
9,1,4,31,0.09396913,Forecast,0.18793826,Low-EV-Adoption-States,Others
10,0,4,0,0.40243083,Forecast,0.80486166,High-EV-Adoption-States,Others
10,2,4,0,0.3449872,Forecast,0.6899744,Moderate-EV-Adoption-States,Others
10,1,4,0,0.25164708,Forecast,0.50329416,Low-EV-Adoption-States,Others
10,0,4,1,0.044975795,Forecast,0.08995159,High-EV-Adoption-States,Others
10,2,4,1,0.032685217,Forecast,0.065370434,Moderate-EV-Adoption-States,Others
10,1,4,1,-0.019155016,Forecast,-0.038310032,Low-EV-Adoption-States,Others
10,0,4,2,0.2328658,Forecast,0.4657316,High-EV-Adoption-States,Others
10,2,4,2,0.15067078,Forecast,0.30134156,Moderate-EV-Adoption-States,Others
10,1,4,2,0.13683917,Forecast,0.27367834,Low-EV-Adoption-States,Others
10,0,4,3,0.7487033,Forecast,1.4974066,High-EV-Adoption-States,Others
10,2,4,3,0.62094814,Forecast,1.24189628,Moderate-EV-Adoption-States,Others
10,1,4,3,0.60928965,Forecast,1.2185793,Low-EV-Adoption-States,Others
10,0,3,4,0.5324244,Forecast,1.0648488,High-EV-Adoption-States,Bus
10,2,3,4,1.7012262,Forecast,3.4024524,Moderate-EV-Adoption-States,Bus
10,1,3,4,0.74968356,Forecast,1.49936712,Low-EV-Adoption-States,Bus
10,0,4,5,0.53009003,Forecast,1.06018006,High-EV-Adoption-States,Others
10,2,4,5,0.37062845,Forecast,0.7412569,Moderate-EV-Adoption-States,Others
10,1,4,5,0.33591792,Forecast,0.67183584,Low-EV-Adoption-States,Others
10,0,4,6,1.0403597,Forecast,2.0807194,High-EV-Adoption-States,Others
10,2,4,6,0.3847395,Forecast,0.769479,Moderate-EV-Adoption-States,Others
10,1,4,6,0.35002902,Forecast,0.70005804,Low-EV-Adoption-States,Others
10,0,3,9,1.0153484,Forecast,2.0306968,High-EV-Adoption-States,Bus
10,2,3,9,0.3711796,Forecast,0.7423592,Moderate-EV-Adoption-States,Bus
10,1,3,9,0.33621246,Forecast,0.67242492,Low-EV-Adoption-States,Bus
10,0,1,8,1.9401007,Forecast,3.8802014,High-EV-Adoption-States,3-Wheelers
10,2,1,8,1.0748247,Forecast,2.1496494,Moderate-EV-Adoption-States,3-Wheelers
10,1,1,8,0.48716554,Forecast,0.97433108,Low-EV-Adoption-States,3-Wheelers
10,0,1,7,1.8605224,Forecast,3.7210448,High-EV-Adoption-States,3-Wheelers
10,2,1,7,1.2682528,Forecast,2.5365056,Moderate-EV-Adoption-States,3-Wheelers
10,1,1,7,1.1552662,Forecast,2.3105324,Low-EV-Adoption-States,3-Wheelers
10,0,4,10,0.16181767,Forecast,0.32363534,High-EV-Adoption-States,Others
10,2,4,10,0.10701344,Forecast,0.21402688,Moderate-EV-Adoption-States,Others
10,1,4,10,0.098367736,Forecast,0.196735472,Low-EV-Adoption-States,Others
10,0,4,11,0.24015775,Forecast,0.4803155,High-EV-Adoption-States,Others
10,2,4,11,0.15611072,Forecast,0.31222144,Moderate-EV-Adoption-States,Others
10,1,4,11,0.09492462,Forecast,0.18984924,Low-EV-Adoption-States,Others
10,0,2,12,4.06527,Forecast,8.13054,High-EV-Adoption-States,4-Wheelers
10,2,2,12,1.3340982,Forecast,2.6681964,Moderate-EV-Adoption-States,4-Wheelers
10,1,2,12,1.0189159,Forecast,2.0378318,Low-EV-Adoption-States,4-Wheelers
10,0,2,15,1.3590903,Forecast,2.7181806,High-EV-Adoption-States,4-Wheelers
10,2,2,15,1.8534881,Forecast,3.7069762,Moderate-EV-Adoption-States,4-Wheelers
10,1,2,15,0.80946714,Forecast,1.61893428,Low-EV-Adoption-States,4-Wheelers
10,0,0,13,5.016014,Forecast,10.032028,High-EV-Adoption-States,2-Wheelers
10,2,0,13,3.8999557,Forecast,7.7999114,Moderate-EV-Adoption-States,2-Wheelers
10,1,0,13,2.3308568,Forecast,4.6617136,Low-EV-Adoption-States,2-Wheelers
10,0,0,14,2.266962,Forecast,4.533924,High-EV-Adoption-States,2-Wheelers
10,2,0,14,2.1153882,Forecast,4.2307764,Moderate-EV-Adoption-States,2-Wheelers
10,1,0,14,0.5851231,Forecast,1.1702462,Low-EV-Adoption-States,2-Wheelers
10,0,4,16,-0.003272641,Forecast,-0.006545281,High-EV-Adoption-States,Others
10,2,4,16,-0.006557254,Forecast,-0.013114507,Moderate-EV-Adoption-States,Others
10,1,4,16,-0.03707593,Forecast,-0.07415186,Low-EV-Adoption-States,Others
10,0,0,17,3.0766976,Forecast,6.1533952,High-EV-Adoption-States,2-Wheelers
10,2,0,17,2.2279775,Forecast,4.455955,Moderate-EV-Adoption-States,2-Wheelers
10,1,0,17,2.0078073,Forecast,4.0156146,Low-EV-Adoption-States,2-Wheelers
10,0,2,18,3.955731,Forecast,7.911462,High-EV-Adoption-States,4-Wheelers
10,2,2,18,2.163063,Forecast,4.326126,Moderate-EV-Adoption-States,4-Wheelers
10,1,2,18,1.40286,Forecast,2.80572,Low-EV-Adoption-States,4-Wheelers
10,0,2,19,1.4987297,Forecast,2.9974594,High-EV-Adoption-States,4-Wheelers
10,2,2,19,0.63984346,Forecast,1.27968692,Moderate-EV-Adoption-States,4-Wheelers
10,1,2,19,0.39456564,Forecast,0.78913128,Low-EV-Adoption-States,4-Wheelers
10,0,0,20,2.2179167,Forecast,4.4358334,High-EV-Adoption-States,2-Wheelers
10,2,0,20,2.6615114,Forecast,5.3230228,Moderate-EV-Adoption-States,2-Wheelers
10,1,0,20,1.0834693,Forecast,2.1669386,Low-EV-Adoption-States,2-Wheelers
10,0,0,21,3.8181527,Forecast,7.6363054,High-EV-Adoption-States,2-Wheelers
10,2,0,21,2.2272046,Forecast,4.4544092,Moderate-EV-Adoption-States,2-Wheelers
10,1,0,21,1.659204,Forecast,3.318408,Low-EV-Adoption-States,2-Wheelers
10,0,0,22,2.0520082,Forecast,4.1040164,High-EV-Adoption-States,2-Wheelers
10,2,0,22,1.6939751,Forecast,3.3879502,Moderate-EV-Adoption-States,2-Wheelers
10,1,0,22,1.4672289,Forecast,2.9344578,Low-EV-Adoption-States,2-Wheelers
10,0,3,23,0.060821217,Forecast,0.121642434,High-EV-Adoption-States,Bus
10,2,3,23,0.26947087,Forecast,0.53894174,Moderate-EV-Adoption-States,Bus
10,1,3,23,0.009731395,Forecast,0.01946279,Low-EV-Adoption-States,Bus
10,0,2,24,1.027838,Forecast,2.055676,High-EV-Adoption-States,4-Wheelers
10,2,2,24,0.14440113,Forecast,0.28880226,Moderate-EV-Adoption-States,4-Wheelers
10,1,2,24,-0.08165914,Forecast,-0.16331828,Low-EV-Adoption-States,4-Wheelers
10,0,2,25,1.7436969,Forecast,3.4873938,High-EV-Adoption-States,4-Wheelers
10,2,2,25,0.3840656,Forecast,0.7681312,Moderate-EV-Adoption-States,4-Wheelers
10,1,2,25,0.21938328,Forecast,0.43876656,Low-EV-Adoption-States,4-Wheelers
10,0,2,26,1.6237972,Forecast,3.2475944,High-EV-Adoption-States,4-Wheelers
10,2,2,26,1.8857903,Forecast,3.7715806,Moderate-EV-Adoption-States,4-Wheelers
10,1,2,26,0.82450426,Forecast,1.64900852,Low-EV-Adoption-States,4-Wheelers
10,0,4,27,0.019486656,Forecast,0.038973312,High-EV-Adoption-States,Others
10,2,4,27,-0.009001858,Forecast,-0.018003716,Moderate-EV-Adoption-States,Others
10,1,4,27,-0.020325001,Forecast,-0.040650002,Low-EV-Adoption-States,Others
10,0,1,28,2.5344124,Forecast,5.0688248,High-EV-Adoption-States,3-Wheelers
10,2,1,28,2.162167,Forecast,4.324334,Moderate-EV-Adoption-States,3-Wheelers
10,1,1,28,2.0694478,Forecast,4.1388956,Low-EV-Adoption-States,3-Wheelers
10,0,1,29,3.3295248,Forecast,6.6590496,High-EV-Adoption-States,3-Wheelers
10,2,1,29,3.057686,Forecast,6.115372,Moderate-EV-Adoption-States,3-Wheelers
10,1,1,29,3.2376516,Forecast,6.4753032,Low-EV-Adoption-States,3-Wheelers
10,0,1,30,3.3595757,Forecast,6.7191514,High-EV-Adoption-States,3-Wheelers
10,2,1,30,1.6670818,Forecast,3.3341636,Moderate-EV-Adoption-States,3-Wheelers
10,1,1,30,1.1310201,Forecast,2.2620402,Low-EV-Adoption-States,3-Wheelers
10,0,4,31,0.20031181,Forecast,0.40062362,High-EV-Adoption-States,Others
10,2,4,31,0.056083497,Forecast,0.112166994,Moderate-EV-Adoption-States,Others
10,1,4,31,0.023590932,Forecast,0.047181864,Low-EV-Adoption-States,Others
11,0,4,0,0.23120688,Forecast,0.46241376,High-EV-Adoption-States,Others
11,2,4,0,0.21077296,Forecast,0.42154592,Moderate-EV-Adoption-States,Others
11,1,4,0,0.21867804,Forecast,0.43735608,Low-EV-Adoption-States,Others
11,0,4,1,0.009468202,Forecast,0.018936404,High-EV-Adoption-States,Others
