Vehicle Class Month Wise Data  of Goa (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,TOTAL
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,BUS,0,0,0,2,0,0,0,0,0,2
2,GOODS CARRIER,0,1,1,0,4,0,0,3,1,10
3,MAXI CAB,3,0,5,3,2,2,1,2,2,20
4,M-CYCLE/SCOOTER,621,342,602,317,352,525,324,372,253,"3,708"
5,M-CYCLE/SCOOTER-WITH SIDE CAR,1,0,0,0,0,0,0,0,0,1
6,MOPED,0,0,4,0,0,0,0,0,0,4
7,MOTOR CAB,1,0,7,1,0,1,0,0,1,11
8,MOTOR CAR,95,95,146,123,107,123,124,143,51,"1,007"
9,MOTORISED CYCLE (CC > 25CC),0,0,4,0,0,0,0,0,0,4
10,THREE WHEELER (GOODS),0,0,0,0,1,1,0,0,0,2
11,THREE WHEELER (PASSENGER),0,1,0,0,0,1,0,0,0,2
