Category,Model_Type,Test_Records,MAE,RMSE,R2_Score
3-Wheelers,Specialized Monthly,78,28.261830350056606,39.813222674058665,0.9777108990066212
Bus,Specialized Monthly,54,5.0387177491503525,15.686877165123663,0.8661614421599743
2-Wheelers,Standard Daily,6827,0.4645375204853436,14.512811856626508,0.8584888458145281
4-Wheelers,Standard Daily,6835,0.0567561289158406,1.9180395466657123,0.9268593393568654
Others,Standard Daily,6827,0.022078897400365564,1.2374611229940757,0.8769916113740979
